metabolite,state,time_point,qs,std_err,err_perc,ub,lb
Phenylalanine,HP_MO,48,-9.056815206287937e-4,5.771949528167936e-5,-0.06373045487513762,-8.479620253471143e-4,-9.634010159104731e-4
Phenylalanine,HP_MO,72,-5.63207803373775e-4,3.368275754860034e-5,-0.05980520395284128,-5.295250458251747e-4,-5.968905609223753e-4
Phenylalanine,LP_TR,4,-0.0036519391287371888,5.386595540209921e-4,-0.14749959816752375,-0.0031132795747161966,-0.004190598682758181
Phenylalanine,LP_TR,24,-0.0017260878931129465,2.3352788640804208e-4,-0.13529316052781165,-0.0014925600067049044,-0.0019596157795209886
Phenylalanine,LP_TR,48,-9.052327327207364e-4,9.028603784922691e-5,-0.09973792880629305,-8.149466948715095e-4,-9.955187705699632e-4
Phenylalanine,LP_TR,72,-5.360886480024294e-4,5.033674926560009e-5,-0.09389631631478229,-4.857518987368293e-4,-5.864253972680295e-4
Phenylalanine,LP_MO,4,-0.003215180651912512,8.1707637601566e-4,-0.2541307828316371,-0.002398104275896852,-0.004032257027928172
Phenylalanine,LP_MO,24,-0.0015765072773396731,2.8957596330861867e-4,-0.18368197056297308,-0.0012869313140310545,-0.0018660832406482918
Phenylalanine,LP_MO,48,-9.241075760447842e-4,9.297058202142927e-5,-0.10060580005127424,-8.31136994023355e-4,-0.0010170781580662136
Phenylalanine,LP_MO,72,-5.786182954853648e-4,5.94815900604492e-5,-0.10279935930915217,-0.00051913670542491565,-6.38099885545814e-4
Serine,HP_TR,4,-0.040509924144304564,0.004353703516826916,-0.10747251713723632,-0.03615622062747765,-0.04486362766113148
Serine,HP_TR,24,-0.00949510879904842,9.9276022197189e-4,-0.1045549074773511,-0.00850234857707653,-0.010487869021020309
Serine,HP_TR,48,-0.0022472367106915313,2.74488195950579e-4,-0.12214476323062204,-0.0019727485147409524,-0.0025217249066421103
Serine,HP_TR,72,-5.988021370288608e-4,1.1288205825084364e-4,-0.18851311855856487,-4.8592007877801713e-4,-7.116841952797044e-4
Serine,HP_MO,4,-0.049894230302191575,0.005707136244302591,-0.11438469357551966,-0.04418709405788898,-0.05560136654649417
Serine,HP_MO,24,-0.008426615005842453,7.908563244657974e-4,-0.09385219615675693,-0.007635758681376656,-0.009217471330308251
Serine,HP_MO,48,-0.001561322899339663,2.141747043777197e-4,-0.13717515093662017,-0.0013471481949619433,-0.0017754976037173827
Serine,HP_MO,72,-3.380076189289531e-4,7.462797493169507e-5,-0.22078784841646235,-2.6337964399725803e-4,-4.1263559386064817e-4
Serine,LP_TR,4,-0.026453225422545617,0.003450397567705835,-0.13043390787291753,-0.023002827854839782,-0.02990362299025145
Serine,LP_TR,24,-0.007994676121345447,9.745515308397203e-4,-0.12190006399855387,-0.007020124590505727,-0.008969227652185167
Serine,LP_TR,48,-0.0024515325032684865,3.122599477761256e-4,-0.12737336639828656,-0.002139272555492361,-0.002763792451044612
Serine,LP_TR,72,-8.48893983097933e-4,1.5587911488056122e-4,-0.18362612762514793,-6.930148682173717e-4,-0.0010047730979784943
Serine,LP_MO,4,-0.026765738661027036,0.006474934061079534,-0.241911278559539,-0.020290804599947504,-0.03324067272210657
